source,target,strength
115,7,1702455
116,7,933675
117,7,882792
118,7,1881903
119,7,111463
120,7,251266
121,7,704991
122,7,600641
123,7,608365
124,7,512235
125,7,1628206
126,7,156769
127,7,273983
128,7,179187
129,7,1355202
130,7,453980
131,7,738051
132,7,392980
133,7,176835
134,7,143712
9,8,8814252
10,8,28365060
11,8,6319822
12,8,5804310
13,8,17304653
14,8,5038847
15,8,24663671
16,8,9266381
17,8,24102541
18,8,2022447
19,8,3592176
20,8,3361599
21,8,1421225
22,8,1676643
23,8,5135042
24,8,9808225
25,8,2192099
26,8,1743914
27,8,2810801
28,8,2124470
29,8,2516790
30,8,28265772
31,8,2957193
32,8,2469954
33,8,1207745
34,8,20095928
35,8,997157
36,8,6800919
37,8,5458923
38,8,22384607
39,8,3384205
40,8,4669273
41,8,38675800
42,8,17328931
43,8,5811954
44,8,3230857
45,8,1773407
46,8,895677
47,8,975225
48,8,3236887
49,8,953251
50,8,1768971
51,8,2337391
52,8,1684816
53,8,2202898
54,8,716930
55,8,377199
56,8,638297
57,8,564449
58,8,947602
59,8,1655422
60,8,15026992
61,8,2428891
62,8,1653704
63,8,322975
64,8,1005716
65,8,1816710
66,8,580500
67,8,1501781
68,8,3210063
69,8,734074
70,8,591808
71,8,2631180
72,8,696073
73,8,671274
74,8,740394
75,8,1013562
76,8,1326362
77,8,439332
78,8,1121903
79,8,995974
80,8,408332
81,8,1793311
82,8,576611
83,8,680336
84,8,3572094
85,8,338350
86,8,672214
87,8,245579
88,8,893787
89,8,2299624
90,8,224362
91,8,469316
92,8,336298
93,8,6187822
94,8,5170277
95,8,171918
96,8,294032
97,8,134232
98,8,197085
99,8,264017
100,8,690293
101,8,783604
102,8,376447
103,8,574016
104,8,1422369
105,8,212287
106,8,2891142
107,8,145224
108,8,1586947
109,8,419982
110,8,579139
111,8,350694
112,8,162178
113,8,314258
114,8,118853
115,8,315878
116,8,154248
117,8,82060
118,8,2085296
119,8,231544
120,8,2599575
121,8,190657
122,8,71768
123,8,1615600
124,8,353926
125,8,160230
126,8,203417
127,8,423035
128,8,166630
129,8,420228
130,8,99524
131,8,41037
132,8,86448
133,8,8363068
134,8,46089
10,9,18197601
11,9,1158354
12,9,31285523
13,9,4174929
14,9,1875460
15,9,4865043
16,9,1633600
17,9,33459788
18,9,298815
19,9,1792815
20,9,19637869
21,9,612324
22,9,731234
23,9,37219099
24,9,2617818
25,9,22843065
26,9,526179
27,9,741981
28,9,752503
29,9,746864
30,9,1261800
31,9,534267
32,9,606430
33,9,6798228
34,9,1010862
35,9,322733
36,9,830071
37,9,1152376
38,9,901291
39,9,2052467
40,9,1028541
41,9,1090613
42,9,1916906
43,9,813910
44,9,1715718
45,9,483131
46,9,235609
47,9,162830
48,9,858787
49,9,350389
50,9,542623
51,9,5083632
52,9,386079
53,9,420094
54,9,195142
55,9,160076
56,9,205348
57,9,2348713
58,9,173706
59,9,362385
60,9,1325228
61,9,611652
62,9,498364
63,9,57692
64,9,157387
65,9,513704
66,9,9738184
67,9,853987
68,9,412774
69,9,21324486
70,9,2980458
71,9,551312
72,9,147491
73,9,3003014
74,9,169116
75,9,389211
76,9,407845
77,9,1575056
78,9,306697
79,9,237624
80,9,74785
81,9,3536580
82,9,20993992
83,9,133389
84,9,905897
85,9,83847
