GBR,IND,2982
GBR,MYS,484
GBR,SGP,4823
GBR,LKA,2
GBR,TAI,37
GBR,THA,24
DEU,AUS,2638
DEU,AUT,26804
DEU,BEL,9961
DEU,CAN,5002
DEU,CZE,563
DEU,DNK,10859
DEU,FIN,10627
DEU,FRA,95202
DEU,GRC,256
DEU,HUN,71
DEU,IRL,5976
DEU,ITA,52240
DEU,JPN,20911
DEU,SKO,5942
DEU,LUX,139522
DEU,MEX,255
DEU,NLD,240532
DEU,NOR,3995
DEU,POL,399
DEU,PRT,295
DEU,ESP,19336
DEU,SWE,20373
DEU,CHE,78326
DEU,TUR,602
DEU,GBR,69843
DEU,USA,87424
DEU,CYP,2861
DEU,GIB,748
DEU,GUE,288
DEU,IMN,27
DEU,JER,2556
DEU,LIE,1056
DEU,RUS,3901
DEU,SVN,138
DEU,MUS,68
DEU,ZAF,1628
DEU,BMU,3979
DEU,CYM,536
DEU,NEA,200
DEU,PAN,13
DEU,USV,689
DEU,BRA,205
DEU,URY,66
DEU,IRN,2160
DEU,ISR,1189
DEU,CHN,883
DEU,HKG,235
DEU,IND,352
DEU,MYS,654
DEU,SGP,556
DEU,TAI,56
JPN,AUS,854
JPN,BEL,934
JPN,CAN,1182
JPN,FRA,15220
JPN,DEU,7172
JPN,ITA,695
JPN,SKO,1445
JPN,LUX,4266
JPN,MEX,5
JPN,NLD,36063
JPN,NZL,229
JPN,ESP,168
JPN,SWE,732
JPN,CHE,4917
JPN,GBR,7324
JPN,USA,75063
JPN,RUS,60
JPN,CYM,16979
JPN,BRA,32
JPN,CHN,197
JPN,HKG,2658
JPN,IND ,32
JPN,IDN,12
JPN,MYS,216
JPN,PHL,60
JPN,SGP,10641
JPN,TAI,2001
JPN,THA,79
