mercix,merciy,size,blankx,blanky,heartx,hearty,symbolx,symboly
957,536,13,860,981,1073,363,762,191
861,741,13,1663,431,1171,130,1302,249
995,599,13,968,678,869,178,455,461
935,689,13,1174,143,843,541,1215,902
1219,268,13,89,100,543,249,598,341
554,138,13,1181,637,1001,197,1612,651
1414,695,13,1427,804,1232,694,640,377
984,309,13,97,341,724,673,1425,197
1382,867,13,1141,896,1242,442,1477,88
871,780,13,1510,659,1170,99,499,333
844,395,13,242,826,1108,247,1315,466
841,416,13,1293,156,1103,565,1503,83
1412,803,13,999,975,930,420,1610,326
594,589,13,474,644,882,623,665,540
755,445,13,1639,201,642,87,1431,724
1321,137,13,497,683,1108,116,896,120
347,417,13,1486,891,1083,224,1100,819
881,233,13,73,347,501,283,1602,761
1332,890,13,1061,577,707,288,1366,208
420,396,13,570,349,1167,449,754,745
1259,729,13,471,47,1194,119,1099,236
949,621,13,1806,247,1338,511,1432,631
969,218,13,1153,400,1021,222,372,394
1377,179,13,974,159,1067,820,501,493
1237,208,13,570,390,1173,344,436,452
1377,400,13,813,874,815,96,863,713
755,300,13,669,648,701,70,780,757
1458,226,13,1129,292,893,236,1568,217
688,888,13,1818,565,1030,140,874,805
1460,480,13,1917,360,846,795,612,698
723,783,13,1001,114,998,770,1498,919
1585,386,13,694,787,957,379,721,786
907,137,13,1803,330,1047,330,577,516
1343,546,13,942,454,1067,617,1149,705
376,370,13,268,621,690,203,1294,179
881,488,13,1555,640,799,353,556,405
653,765,13,297,274,818,224,1161,144
1572,263,13,813,63,1319,344,532,442
1573,358,13,1059,689,1254,648,1312,796
757,320,13,774,454,747,533,884,873
1656,205,13,1968,726,1395,107,1552,595
903,856,13,373,589,1467,465,1420,244
887,605,13,410,528,1089,753,1418,904
896,195,13,37,787,831,461,645,323
756,160,13,1878,307,1287,509,1310,941
1532,184,11,19,583,748,471,696,768
1073,466,11,471,582,1349,438,761,598
1578,230,11,1716,218,1430,387,1264,775
1367,540,11,1738,398,700,609,1608,577
1032,538,11,1702,632,896,116,698,561
1067,862,11,1410,917,864,607,1427,754
576,565,11,147,854,948,893,1113,707
612,333,11,324,288,901,82,467,617
856,489,11,1004,782,718,93,1632,662
924,279,11,106,585,919,529,1374,154
537,431,11,1456,676,580,368,1283,947
1255,324,11,1881,538,520,406,1618,627
1253,645,11,1976,174,790,626,1468,517
1032,647,11,1283,780,1363,89,730,385
1227,759,11,1328,60,679,621,550,539
1139,479,11,1183,526,984,708,1175,248
1063,405,11,747,706,941,457,787,216
1261,780,11,1785,712,807,284,1584,420
1109,648,11,613,676,945,481,1327,856
597,226,11,315,885,821,634,1403,880
752,374,11,376,69,1193,657,1216,172
1188,720,11,970,505,1220,587,1505,90
1023,240,11,389,633,1323,371,834,321
1208,412,11,1742,468,712,527,669,546
906,633,11,852,36,1281,54,1277,209
623,668,11,160,456,1029,496,716,419
1629,335,11,1966,936,764,622,437,400
1387,758,11,833,100,1142,679,1278,872
608,423,11,1091,157,1084,580,1449,401
1379,140,11,989,285,941,125,1555,282
1074,572,11,649,155,1056,132,624,251
1677,454,11,1571,491,998,936,1541,523
1456,157,11,244,266,845,389,827,846
1340,786,11,832,978,1269,482,1529,637
1484,290,11,809,273,1271,292,1251,142
1216,540,11,1809,352,1123,435,1305,873
351,437,11,1423,881,832,429,1420,119
1531,201,11,874,795,887,451,1571,680
1137,276,11,990,423,1264,456,1501,686
345,314,11,798,841,1079,136,631,672
743,669,11,1895,776,730,605,467,402
433,138,11,879,865,1490,366,588,494
1377,685,11,1536,754,1173,514,1278,745
1094,808,11,1696,257,1226,318,1246,71
726,860,11,1448,18,766,710,1481,568
1024,625,11,603,273,910,358,1449,61
861,651,11,1182,806,1222,205,1447,128
1608,458,11,1017,36,1061,857,1164,788
533,141,11,530,153,1340,353,1435,928
333,194,11,509,903,821,99,1120,852
533,315,11,571,608,1182,53,444,593
742,535,11,728,539,769,599,1386,808
643,723,11,806,34,1351,233,698,228
