status,gender1,gender2,age1,age2,couples
2,F,F,18,80,9
2,F,F,18,81,5
2,F,F,18,82,7
2,F,F,18,83,8
2,F,F,18,84,6
2,F,F,18,85,4
2,F,F,18,86,4
2,F,F,18,87,5
2,F,F,18,88,6
2,F,F,18,89,10
2,F,F,18,90,3
2,F,F,18,91,8
2,F,F,18,92,8
2,F,F,18,93,17
2,F,F,18,94,14
2,F,F,18,95,6
2,F,F,18,96,8
2,F,F,18,97,10
2,F,F,18,98,6
2,F,F,18,99,19
2,F,F,18,100,27
2,F,F,18,101,22
2,F,F,18,102,75
2,F,F,18,103,39
2,F,F,18,104,1
2,F,F,18,105,7
2,F,F,18,106,4
2,F,F,18,107,94
2,F,F,18,108,39
2,F,F,18,109,1
2,F,F,18,111,2
2,F,F,18,112,3
2,F,F,18,113,5
2,F,F,19,,1
2,F,F,19,13,1116
2,F,F,19,14,2928
2,F,F,19,15,4374
2,F,F,19,16,5271
2,F,F,19,17,7135
2,F,F,19,18,14068
2,F,F,19,19,23801
2,F,F,19,20,10445
2,F,F,19,21,4246
2,F,F,19,22,3155
2,F,F,19,23,1870
2,F,F,19,24,1049
2,F,F,19,25,736
2,F,F,19,26,505
2,F,F,19,27,348
2,F,F,19,28,287
2,F,F,19,29,275
2,F,F,19,30,168
2,F,F,19,31,129
2,F,F,19,32,152
2,F,F,19,33,109
2,F,F,19,34,70
2,F,F,19,35,64
2,F,F,19,36,55
2,F,F,19,37,51
2,F,F,19,38,38
2,F,F,19,39,35
2,F,F,19,40,40
2,F,F,19,41,39
2,F,F,19,42,40
2,F,F,19,43,41
2,F,F,19,44,32
2,F,F,19,45,21
2,F,F,19,46,28
2,F,F,19,47,23
2,F,F,19,48,20
2,F,F,19,49,19
2,F,F,19,50,12
2,F,F,19,51,11
2,F,F,19,52,20
2,F,F,19,53,16
2,F,F,19,54,4
2,F,F,19,55,13
2,F,F,19,56,5
2,F,F,19,57,10
2,F,F,19,58,5
2,F,F,19,59,6
2,F,F,19,60,7
2,F,F,19,61,1
2,F,F,19,62,14
2,F,F,19,63,7
2,F,F,19,64,4
2,F,F,19,65,6
2,F,F,19,66,7
2,F,F,19,67,20
2,F,F,19,68,17
2,F,F,19,69,8
2,F,F,19,70,9
2,F,F,19,71,5
2,F,F,19,72,7
2,F,F,19,73,7
2,F,F,19,74,2
2,F,F,19,75,5
2,F,F,19,76,4
2,F,F,19,77,3
2,F,F,19,78,6
2,F,F,19,79,6
2,F,F,19,80,6
2,F,F,19,81,6
2,F,F,19,82,4
2,F,F,19,83,8
2,F,F,19,84,3
2,F,F,19,85,6
2,F,F,19,86,3
2,F,F,19,87,6
2,F,F,19,88,7
2,F,F,19,89,6
2,F,F,19,90,9
2,F,F,19,91,6
2,F,F,19,92,8
2,F,F,19,93,20
2,F,F,19,94,10
2,F,F,19,95,11
2,F,F,19,96,7
2,F,F,19,97,6
2,F,F,19,98,8
2,F,F,19,99,14
2,F,F,19,100,19
2,F,F,19,101,14
2,F,F,19,102,90
2,F,F,19,103,36
2,F,F,19,104,5
2,F,F,19,105,7
2,F,F,19,106,3
2,F,F,19,107,66
2,F,F,19,108,43
2,F,F,19,110,1
2,F,F,19,111,1
2,F,F,19,112,6
2,F,F,19,113,1
2,F,F,20,,1
2,F,F,20,13,737
2,F,F,20,14,1901
2,F,F,20,15,2781
